Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Electricity generation,Fuel,Solar,%,6.13
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Hydro,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Other Fossil,%,4.93
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Solar,%,0.02
India,IND,Andaman and Nicobar,AN,Union territory,01-08-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Hydro,%,0.93
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Other Fossil,%,91.34
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Solar,%,7.72
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Hydro,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Other Fossil,%,4.8
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Solar,%,0.03
India,IND,Andaman and Nicobar,AN,Union territory,01-09-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Hydro,%,10.36
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Other Fossil,%,80.74
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Solar,%,8.9
